From;To;Segments;Type;Price
Addis Abeba;Suakin;3;Car;
Addis Abeba;Kap Guardafui;3;Car;
Addis Abeba;Victoriasøen;3;Car;
Amatave;Kapstaden;1;Plane;
Amatave;Kap Guardafui;1;Plane;
Amatave;Kap Guardafui;8;Ship;
Bahr El Ghazal;Darfur;2;Car;
Bahr El Ghazal;Victoriasøen;2;Car;
Cairo;Omdurman;4;Car;
Cairo;Suakin;1;Plane;
Cairo;Tunis;5;Ship;
Cairo;Suakin;4;Ship;
Congo;Luanda;3;Car;
Congo;Slavekysten;5;Car;
Congo;Wadai;6;Car;
Congo;Darfur;6;Car;
Dakar;Sierra Leone;4;Car;
Dakar;Marrakesh;8;Car;
Dakar;Sierra Leone;3;Ship;
Dakar;St. Helena;10;Ship;
Dakar;De Kanariske Øer;5;Ship;
Darfur;Wadai;4;Car;
Darfur;Slavekysten;7;Car;
Darfur;Congo;6;Car;
Darfur;Sahara;8;Car;
Darfur;Omdurman;3;Car;
Darfur;Suakin;4;Car;
Darfur;Bahr El Ghazal;2;Car;
Darfur;Tripoli;1;Plane;
Darfur;Suakin;1;Plane;
Darfur;Kabalo;1;Plane;
De Kanariske Øer;Tanger;3;Ship;
De Kanariske Øer;Dakar;5;Ship;
Dragebjerget;Victoriafaldene;3;Car;
Dragebjerget;Mocambique;4;Car;
Dragebjerget;Luanda;11;Car;
Dragebjerget;Kapstaden;1;Plane;
Dragebjerget;Victoriasøen;1;Plane;
Guldkysten;Timbuktu;4;Car;
Guldkysten;Sierra Leone;5;Car;
Guldkysten;Marrakesh;1;Plane;
Guldkysten;Tripoli;1;Plane;
Guldkysten;Luanda;1;Plane;
Guldkysten;Hvalbugten;1;Plane;
Guldkysten;Slavekysten;4;Ship;
Guldkysten;Hvalbugten;11;Ship;
Guldkysten;Sierra Leone;4;Ship;
Hvalbugten;Kapstaden;4;Car;
Hvalbugten;Victoriafaldene;4;Car;
Hvalbugten;Kapstaden;1;Plane;
Hvalbugten;Guldkysten;1;Plane;
Hvalbugten;Luanda;1;Plane;
Hvalbugten;Kapstaden;3;Ship;
Hvalbugten;St. Helena;10;Ship;
Hvalbugten;Slavekysten;9;Ship;
Hvalbugten;Guldkysten;11;Ship;
Kabalo;Luanda;4;Car;
Kabalo;Victoriasøen;4;Car;
Kabalo;Kapstaden;1;Plane;
Kabalo;Darfur;1;Plane;
Kap Guardafui;Addis Abeba;3;Car;
Kap Guardafui;Zanzibar;6;Car;
Kap Guardafui;Victoriasøen;1;Plane;
Kap Guardafui;Amatave;1;Plane;
Kap Guardafui;Suakin;4;Ship;
Kap Guardafui;Mocambique;8;Ship;
Kap Guardafui;Amatave;8;Ship;
Kap St. Marie;Kapstaden;1;Plane;
Kap St. Marie;Kapstaden;8;Ship;
Kap St. Marie;Mocambique;3;Ship;
Kapstaden;Hvalbugten;4;Car;
Kapstaden;St. Helena;1;Plane;
Kapstaden;Hvalbugten;1;Plane;
Kapstaden;Kabalo;1;Plane;
Kapstaden;Dragebjerget;1;Plane;
Kapstaden;Amatave;1;Plane;
Kapstaden;Kap St. Marie;1;Plane;
Kapstaden;Kap St. Marie;8;Ship;
Kapstaden;Hvalbugten;3;Ship;
Kapstaden;St. Helena;9;Ship;
Luanda;Congo;3;Car;
Luanda;Kabalo;4;Car;
Luanda;Mocambique;10;Car;
Luanda;Victoriafaldene;11;Car;
Luanda;Dragebjerget;11;Car;
Luanda;Hvalbugten;1;Plane;
Luanda;Guldkysten;1;Plane;
Marrakesh;Tanger;2;Car;
Marrakesh;Sahara;5;Car;
Marrakesh;Dakar;8;Car;
Marrakesh;Tanger;1;Plane;
Marrakesh;Guldkysten;1;Plane;
Marrakesh;Sierra Leone;1;Plane;
Mocambique;Dragebjerget;4;Car;
Mocambique;Victoriafaldene;5;Car;
Mocambique;Luanda;10;Car;
Mocambique;Victoriasøen;6;Car;
Mocambique;Zanzibar;3;Car;
Mocambique;Kap Guardafui;8;Ship;
Mocambique;Kap St. Marie;3;Ship;
Omdurman;Darfur;3;Car;
Omdurman;Cairo;4;Car;
Omdurman;Tripoli;6;Car;
Sahara;Tanger;5;Car;
Sahara;Marrakesh;5;Car;
Sahara;Darfur;8;Car;
Siera Leone;Dakar;4;Car;
Siera Leone;Timbuktu;5;Car;
Siera Leone;Guldkysten;5;Car;
Siera Leone;St. Helena;1;Plane;
Siera Leone;Marrakesh;1;Plane;
Siera Leone;St. Helena;11;Ship;
Siera Leone;Dakar;3;Ship;
Siera Leone;Guldkysten;4;Ship;
Slavekysten;Congo;5;Car;
Slavekysten;Wadai;7;Car;
Slavekysten;Darfur;7;Car;
Slavekysten;Timbuktu;5;Car;
Slavekysten;Guldkysten;4;Ship;
Slavekysten;Hvalbugten;9;Ship;
St. Helena;Kapstaden;1;Plane;
St. Helena;Sierra Leone;1;Plane;
St. Helena;Dakar;10;Ship;
St. Helena;Sierra Leone;11;Ship;
St. Helena;Hvalbugten;10;Ship;
St. Helena;Kapstaden;9;Ship;
Suakin;Addis Abeba;3;Car;
Suakin;Darfur;4;Car;
Suakin;Cairo;1;Plane;
Suakin;Darfur;1;Plane;
Suakin;Victoriasøen;1;Plane;
Suakin;Cairo;4;Ship;
Suakin;Kap Guardafui;4;Ship;
Tanger;Tunis;5;Car;
Tanger;Marrakesh;2;Car;
Tanger;Sahara;5;Car;
Tanger;Tripoli;1;Plane;
Tanger;Marrakesh;1;Plane;
Tanger;Tunis;3;Ship;
Tanger;De Kanariske Øer;3;Ship;
Timbuktu;Slavekysten;5;Car;
Timbuktu;Guldkysten;4;Car;
Timbuktu;Sierra Leone;5;Car;
Tripoli;Tunis;3;Car;
Tripoli;Omdurman;6;Car;
Tripoli;Darfur;1;Plane;
Tripoli;Guldkysten;1;Plane;
Tripoli;Tanger;1;Plane;
Tunis;Tripoli;3;Car;
Tunis;Tanger;5;Car;
Tunis;Tanger;3;Ship;
Tunis;Cairo;5;Ship;
Victoriafaldene;Dragebjerget;3;Car;
Victoriafaldene;Hvalbugten;4;Car;
Victoriafaldene;Mocambique;5;Car;
Victoriafaldene;Luanda;11;Car;
Victoriasøen;Bahr El Ghazal;2;Car;
Victoriasøen;Addis Abeba;3;Car;
Victoriasøen;Zanzibar;5;Car;
Victoriasøen;Mocambique;6;Car;
Victoriasøen;Kabalo;4;Car;
Victoriasøen;Suakin;1;Plane;
Victoriasøen;Kap Guardafui;1;Plane;
Victoriasøen;Dragebjerget;1;Plane;
Wadai;Darfur;4;Car;
Wadai;Congo;6;Car;
Wadai;Slavekysten;7;Car;
Zanzibar;Mocambique;3;Car;
Zanzibar;Victoriasøen;5;Car;
Zanzibar;Kap Guardafui;6;Car;
